Company Name,Company Type,SPCIQ Key,Table Type,HOLDER,COMMON_STOCK_EQUIVALENT_HELD__ACTUAL_,PERCENT_OF_COMMON_SHARES_OUTSTANDING____,MARKET_VALUE___M_,CHANGE_IN_SHARES__ACTUAL_,CHANGE____,POSITION_DATE,SOURCE,PORTFOLIO_TURNOVER_CATEGORY,PORTFOLIO_TURNOVER____,INVESTMENT_ORIENTATION,EQUITY_ASSETS___M_,CITY,STATE,COUNTRY,CALCULATED_INVESTMENT_STYLE,CALCULATED_MARKET_CAP_EMPHASIS,OWNER_TYPE,FUNDS,DERIVATIVES_EX__60_DAYS,INSTITUTION_IS_AN_ACTIVIST_
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,UBS Asset Management,"1,072,377",0.84,73.7,"46,048",4.49,12/31/2024,Multiple,Very Low,15.6,Active,"1,094,675.41",Zurich,,Switzerland,Growth,Large Cap,Traditional Investment Managers,53.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,FINPAR IX SRL,"940,880",0.74,64.7,0,,12/31/2023,Annual Report,,,,,,,Belgium,Unclassified,,Corporations (Private),,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Hwabao WP Fund Management Co. Ltd.,"932,000",0.73,64.1,0,,6/30/2024,Aggregated Mutual Funds,Low,25.22,Active,"14,571.62",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,1.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Pzena Investment Management Inc.,"913,986",0.72,62.8,0,,9/30/2024,Aggregated Mutual Funds,Low,25.43,Active,"55,882.81",New York,NY,USA,Value,Large Cap,Traditional Investment Managers,1.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Amundi Asset Management SAS,"817,704",0.64,56.2,"177,067",27.64,12/31/2024,Aggregated Mutual Funds,Low,27.88,Passive,"508,150.03",Paris,,France,Growth,Large Cap,Traditional Investment Managers,57.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Finpar Vii Srl,"674,382",0.53,46.3,0,,12/31/2023,Annual Report,,,,,,,Belgium,Unclassified,,Corporations (Private),,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Geode Capital Management LLC,"586,118",0.46,40.3,"16,492",2.90,12/31/2024,Aggregated Mutual Funds,Very Low,2.55,Passive,"1,489,435.66",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,13.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Baron Frere,"453,715",0.36,31.2,0,,12/31/2023,Annual Report,,,,,,,Belgium,,,Individuals/Insiders,,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Teachers Insurance and Annuity Association- College Retirement Equities Fund,"380,381",0.3,26.1,"6,373",1.70,10/31/2024,Multiple,Very Low,15.55,Active,"374,154.99",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,2.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,State Street Global Advisors Inc.,"310,805",0.24,21.4,"10,520",3.50,12/31/2024,Multiple,Very Low,4.82,Passive,"2,876,392.13",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,42.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,RBC Global Asset Management Inc.,"278,223",0.22,19.1,0,,6/30/2024,Multiple,Low,25.29,Active,"153,134.15",Toronto,ON,Canada,Growth,Large Cap,Traditional Investment Managers,2.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Charles Schwab Investment Management Inc.,"269,545",0.21,18.5,"-29,868",-9.98,12/31/2024,Multiple,Very Low,11.66,Passive,"574,556.11",San Francisco,CA,USA,Growth,Large Cap,Traditional Investment Managers,5.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Bessemer Investment Management LLC,"246,851",0.19,17.0,"246,851",,10/31/2024,Aggregated Mutual Funds,Low,24.85,Active,"65,926.97",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,1.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Sjunde AP-fonden,"239,823",0.19,16.5,0,,6/28/2024,Aggregated Mutual Funds,Very Low,2.44,Passive,"103,734.85",Stockholm,,Sweden,Growth,Large Cap,Government Pension Sponsors,1.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,HuaAn Fund Management Company Ltd.,"235,200",0.19,16.2,0,,6/30/2024,Aggregated Mutual Funds,Low,43.92,Active,"21,637.60",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,1.0,,No
"Grupo Techint, S.A. de C.V.",Private,36197879,No Table Found,,,,,,,,,,,,,,,,,,,,,
