Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes
Arbor Metals Corp.,170940188,Public,Canada,No,Arbor Metals Corp.,Jarnet,"Corvette, Firebird, Jarnet 1, Jarnet 2, Prince, St. Pierre",91549,,100.0,100,Arbor Metals Corp.,Canada,1.4 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"53.578510,-73.870560",Exact,,,,,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Salar de Olaroz,"029-M-1996, 039-M-1998, 056-L-1991, 112-D-44, 112-S-04, 1134-R-2009, 1135-R-2009, 1136-R-2009, 1137-R-2009, 114-S-44, 117-A-44, 125-S-44, 126-T-44, 1274-P-2009, 131-I-1986, 147-L-2003, 1842-S-12, 319-T-2005, 393-M-44, 40-M-1998, 503-L-2006, 519-L-2006, 520-L-2006, 521-L-2006, 522-L-2006, 724-L-2007, 725-L-2007, 726-L-2007, 727-L-2007, 728-L-2007, 943-R-2008, 944-R-2008, 945-R-2008, 963-R-2004, 964-R-2008, Cateos, Maria Victoria, Olaroz, Olaroz 2, Rio Rosario",37059,,66.5,66.5,Rio Tinto Group,Argentina,2.7 High,Expansion,Active,"Lithium, Potash",Lithium,9149000.0,tonnes,148287.0,6/30/23,Brine,"-23.450000,-66.700000",Exact,,,2014,2055,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Salar del Hombre Muerto,"El Fenix, Hombre Muerto Salt Flat, Project Fenix, SdHM",37612,,100.0,100,Rio Tinto Group,Argentina,2.7 High,Expansion,Active,"Lithium, Potash",Lithium,4768230.0,tonnes,77283.5,12/31/23,Brine,"-25.392700,-67.048780",Exact,,,1997,2062,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Sal de Vida,"Agostina, Augustin, Aurelio, Barrea, Centenario, Central Basin, Chachita, Delia, Don Carlos, Don Pepe, El Tordo, Fenix, Fidel, Galaxy Sal De Vida, Hombre Muerto, Juan Luis, La Redonda, Los Patos, Luna Blanca, Maktub, Maria Clara, Maria Lucia, Meme, Montserrat, North Basin, Quiero Retruco, Rodolfo, Salar, Salar del Hombre Muerto, SdHM, SDV, SDV 1, SDV 2, Sonqo, Truco",37611,,100.0,100,Rio Tinto Group,Argentina,2.7 High,Construction Started,Active,"Lithium, Potash",Lithium,2901000.0,tonnes,47019.4,6/30/23,Brine,"-25.225560,-66.981870",Exact,,,2026,2065,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Salar de Cauchari,"Antonito I, Archibarca, Cauchari, Cauchari Salar, Deep Sand, Francisco Norte, Georgina, Juan Pablo II, Juan XXIll, Mina Juan Pablo I, Mina San Gabriel X, Olacapatita I, Olacapatita II, Olacapatita III, Papa Francisco I, San Carlos Este, San Francisco Este, San Francisco Sur, San Gabriel I, San Gabriel Norte, San Gabriel Sur, San Gerardo, San Gerardo II, San Joaquin I, Solitaria I, Sulfita, West Fan",40251,,100.0,100,Rio Tinto Group,Argentina,2.7 High,Prefeas/Scoping,Active,"Lithium, Potash",Lithium,2411000.0,tonnes,39077.5,6/30/23,Brine,"-23.757380,-66.790670",Exact,,,2027,2057,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Galaxy,"Cyr, James Bay",37610,,100.0,100,Rio Tinto Group,Canada,1.4 Moderate,Construction Planned,Active,"Lithium, Spodumene",Lithium,1430000.0,tonnes,23177.4,6/30/23,Open Pit,"52.234440,-77.065230",Exact,,,2024,2042,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Sal de los Angeles,"Angeles, Diablillos, Diabrilos, Lake Angeles, Salar de Diablillos, SDLA, Yantian",37628,1.0,0,0,Tibet Summit Rsrc HongKong Ltd,Argentina,2.7 High,Preproduction,Active,"Lithium, Potash",Lithium,828563.0,tonnes,13429.3,6/30/18,Brine,"-25.244720,-66.748330",Exact,,,,2035,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Nemaska,"Cantore, Chibougamau, Doris, InterDoris, Lac des Montagnes, Matagami, Nemaska Whabouchi, Whabouchi, ZoneNord",37507,,50.0,50,Rio Tinto Group,Canada,1.4 Moderate,Preproduction - Construction Planned,Active,"Lithium, Beryllium, Ruthenium, Beryl, Tin, Rubidium, Spodumene",Lithium,723000.0,tonnes,11718.4,12/31/22,"Open Pit, Underground","51.679700,-75.853270",Exact,,,2028,2059,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Mt Cattlin,"2NE, 2NW, Aerodrome, Bakers Hill, Dowling Pit, E 74/295, E 74/299, E 74/400, E 74/401, E 74/415, E74/379, E74/399, E74/406, Eastern Zone, Elverdton, Floater, Floater Road, Golden Link, Horseshoe, Junction, Kooyaura, Kuzmins, L 74/47, L74/46, L74/48, M 74/133, M 74/238, M74/244, Marion Martin, McMahon, Mount Cattlin, Mount Cattlin Creek, Mt Cattlin Creek, Mt Desmond, Mt McMahon, North Ravensthorpe, North Ravy, NW Dowling, NW Zone, P 74/307-308, P 74/309-310, PLP, Ravensthorpe JV, South West Zone, Sunset, SW, West Kundip, WMC Costean",30688,,100.0,100,Rio Tinto Group,Australia,1.4 Moderate,Operating,Active,"Lithium, Tantalum, Copper, Gold, Niobium, Spodumene, Silica, Zinc, Lead, Manganese",Lithium,153000.0,tonnes,2937.5,6/30/23,"Open Pit, Underground","-33.563060,120.034440",Exact,,,2016,2028,
Rio Tinto Group,299199,Public,United Kingdom,No,Rio Tinto Group,Salar de Salinas Grandes,"Cangrejillo, Guayatayoc, Salar Salinas Grandes",37470,1.5,,,Pluspetrol Rsrc Corp B.V.,Argentina,2.7 High,Reserves Development,Active,"Lithium, Potash",Lithium,96800.0,tonnes,1568.9,3/6/12,Brine,"-23.728560,-65.946390",Exact,,,,,
